ba,node_b,bin,cap_mw,marginal_$_per_MW,marginal_$_per_kW,cum_cap_mw_node
p63,b004090,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,0.3724155514144056
p63,b004215,0,70.26051385671698,20387.568418505747,20.387568418505747,70.26051385671698
p63,b004215,4,76.98430395957755,230844.972823203,230.844972823203,147.24481781629453
p63,b004215,7,110.75518218370547,558476.2277283575,558.4762277283576,258.0
p63,b004288,0,16.258010692767172,20387.568418505747,20.387568418505747,16.258010692767172
p63,b004288,3,26.529427078782177,199815.4148822716,199.8154148822716,42.78743777154935
p63,b004288,4,3.367324034691862,230844.972823203,230.844972823203,46.15476180624121
p63,b004288,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,46.5271773576556
p63,b004288,12,0.0639494077623224,13324546.040327424,13324.546040327425,46.591126765417926
p63,b004290,0,274.9228941103239,20387.568418505747,20.387568418505747,274.9228941103239
p63,b004290,8,30.129689212353,1455670.1695349184,1455.6701695349184,305.0525833226769
p63,b004290,9,0.3032594460552216,1546788.41881199,1546.78841881199,305.35584276873215
p63,b004290,11,97.38493135010262,2647143.4430617127,2647.143443061713,402.74077411883474
p63,b004290,12,1.0056526996061708,13324546.040327424,13324.546040327425,403.7464268184409
p63,b004852,8,52.06401678959281,1455670.1695349184,1455.6701695349184,52.06401678959281
p63,b004852,9,16.906349847271134,1546788.41881199,1546.78841881199,68.97036663686394
p63,b004852,11,12.392053082952682,2647143.4430617127,2647.143443061713,81.36241971981663
p63,b004852,12,0.4064013559305966,13324546.040327424,13324.546040327425,81.76882107574723
p63,b004878,0,3.514231542051981,20387.568418505747,20.387568418505747,3.514231542051981
p63,b004878,8,1.836250345411172,1455670.1695349184,1455.6701695349184,5.350481887463153
p63,b004887,0,7.307480926180809,20387.568418505747,20.387568418505747,7.307480926180809
p63,b004887,7,3.575229403784716,558476.2277283575,558.4762277283576,10.882710329965526
p63,b004887,8,0.3724155514143914,1455670.1695349184,1455.6701695349184,11.255125881379916
p63,b004887,12,0.0058441030639926,13324546.040327424,13324.546040327425,11.260969984443909
p63,b005050,0,37.90260102202703,20387.568418505747,20.387568418505747,37.90260102202703
p63,b005050,8,0.3724155514144056,1455670.1695349184,1455.6701695349184,38.275016573441434
