region,capacity_GW,cum_cost_$,slope_$/kW
4e91093943d84c5d86a92cc691842322,3.367063,255998598.5,137.147
4e91093943d84c5d86a92cc691842322,4.748057,632095191.3,272.3376
4e91093943d84c5d86a92cc691842322,8.48057,1735161445.8,295.5291
4e91093943d84c5d86a92cc691842322,9.325054,2008596850.5,323.7899
4e91093943d84c5d86a92cc691842322,10.030768,2246934245.6,337.7252
4e91093943d84c5d86a92cc691842322,10.419867,2383415059.0,350.7612
4e91093943d84c5d86a92cc691842322,11.993089,2989639749.4,385.3396
4e91093943d84c5d86a92cc691842322,12.539751,3235225740.2,449.2465
4e91093943d84c5d86a92cc691842322,13.526035,3762215079.6,534.318
4e91093943d84c5d86a92cc691842322,15.067643,4849918384.7,705.5641
4e91093943d84c5d86a92cc691842322,22.60556,10295375502.9,722.4087
4ede11bf969e39ffa8bd7246f7269c96,9.871534,0.0,
4ede11bf969e39ffa8bd7246f7269c96,11.612124,116757862.1,67.0795
4ede11bf969e39ffa8bd7246f7269c96,14.236774,366200072.7,95.0383
4ede11bf969e39ffa8bd7246f7269c96,18.528193,1244619226.0,204.692
4ede11bf969e39ffa8bd7246f7269c96,20.795668,1769686545.3,231.5648
4ede11bf969e39ffa8bd7246f7269c96,23.15996,2424015994.1,276.7549
4ede11bf969e39ffa8bd7246f7269c96,23.640913,2609511373.3,385.683
4ede11bf969e39ffa8bd7246f7269c96,24.749493,3076602717.7,421.342
4ede11bf969e39ffa8bd7246f7269c96,25.826196,3573549351.6,461.5448
4ede11bf969e39ffa8bd7246f7269c96,33.034084,7854795751.9,593.9668
4ede11bf969e39ffa8bd7246f7269c96,36.348325,10364727720.8,757.3173
4ede11bf969e39ffa8bd7246f7269c96,59.05538,29447188291.4,840.3758
4ede11bf969e39ffa8bd7246f7269c96,69.256422,39085702583.1,944.8559
4ede11bf969e39ffa8bd7246f7269c96,99.553757,86742253126.8,1572.9618
500d6a0d4f9d23ff8fb47b4178577eaa,3.902088,32230904.3,
500d6a0d4f9d23ff8fb47b4178577eaa,6.554454,0.0,-12.1518
500d6a0d4f9d23ff8fb47b4178577eaa,8.181597,122724265.9,75.4232
500d6a0d4f9d23ff8fb47b4178577eaa,9.337187,257155751.6,116.3315
500d6a0d4f9d23ff8fb47b4178577eaa,10.375389,394709368.6,132.4922
500d6a0d4f9d23ff8fb47b4178577eaa,11.15212,576543444.2,234.1017
500d6a0d4f9d23ff8fb47b4178577eaa,12.246615,910433572.1,305.0632
500d6a0d4f9d23ff8fb47b4178577eaa,12.309625,945123529.6,550.5469
500d6a0d4f9d23ff8fb47b4178577eaa,12.79938,1269957252.6,663.2576
500d6a0d4f9d23ff8fb47b4178577eaa,14.501557,2665966288.8,820.1315
500d6a0d4f9d23ff8fb47b4178577eaa,19.302649,8131882642.9,1138.4736
500d6a0d4f9d23ff8fb47b4178577eaa,19.369903,8212114708.2,1192.9709
500d6a0d4f9d23ff8fb47b4178577eaa,26.983961,17674704702.8,1242.7788
500d6a0d4f9d23ff8fb47b4178577eaa,27.25316,18028758680.8,1315.2128
500d6a0d4f9d23ff8fb47b4178577eaa,52.626208,57124321426.3,1540.8304
500d6a0d4f9d23ff8fb47b4178577eaa,53.047536,57890122058.0,1817.5878
500d6a0d4f9d23ff8fb47b4178577eaa,53.46637,58867874348.2,2334.4626
50d2aaa9eefb93cfec53b6cdacb24b6f,9.908139,0.0,
50d2aaa9eefb93cfec53b6cdacb24b6f,13.472756,491447599.2,137.8683
50d2aaa9eefb93cfec53b6cdacb24b6f,15.369664,802605973.3,164.0345
50d2aaa9eefb93cfec53b6cdacb24b6f,18.186598,1549892004.2,265.2835
50d2aaa9eefb93cfec53b6cdacb24b6f,120.677573,73960817016.5,706.5103
50d2aaa9eefb93cfec53b6cdacb24b6f,166.534758,108255685483.3,747.8625
50d2aaa9eefb93cfec53b6cdacb24b6f,264.823047,185042613744.5,781.2419
50d2aaa9eefb93cfec53b6cdacb24b6f,381.674726,282315610831.8,832.4484
50d2aaa9eefb93cfec53b6cdacb24b6f,389.258239,289460178300.7,942.1184
50d2aaa9eefb93cfec53b6cdacb24b6f,389.32737,289633987668.5,2514.203
5327e56dde96d7a470ae99896c2e150b,17.666241,0.0,
5327e56dde96d7a470ae99896c2e150b,22.474556,235802249.8,49.0405
5327e56dde96d7a470ae99896c2e150b,25.078327,515477463.2,107.4116
5327e56dde96d7a470ae99896c2e150b,27.066307,1058255766.5,273.0301
5327e56dde96d7a470ae99896c2e150b,38.312942,7620747562.2,583.5071
5327e56dde96d7a470ae99896c2e150b,42.88064,10591270798.6,650.3327
5327e56dde96d7a470ae99896c2e150b,57.892035,21564616561.8,731.0011
5327e56dde96d7a470ae99896c2e150b,60.331077,23761102643.7,900.5528
5350828dece3d87d6bc550ae59c1f716,2.632395,0.0,
5350828dece3d87d6bc550ae59c1f716,4.225555,202351261.6,127.0125
5350828dece3d87d6bc550ae59c1f716,4.953315,359499837.7,215.9346
5350828dece3d87d6bc550ae59c1f716,5.178468,408891269.8,219.3683
5350828dece3d87d6bc550ae59c1f716,6.862702,791676192.3,227.2754
5350828dece3d87d6bc550ae59c1f716,13.769114,2549456098.4,254.5142
5350828dece3d87d6bc550ae59c1f716,14.673575,2788954598.0,264.7969
5350828dece3d87d6bc550ae59c1f716,17.698441,3921031955.1,374.257
5350828dece3d87d6bc550ae59c1f716,25.573758,7016458518.3,393.0542
5350828dece3d87d6bc550ae59c1f716,30.674303,10113984392.5,607.2931
5350828dece3d87d6bc550ae59c1f716,38.072207,14679637558.4,617.155
5350828dece3d87d6bc550ae59c1f716,41.941411,17289821135.4,674.6048
5350828dece3d87d6bc550ae59c1f716,45.590484,21481935627.6,1148.8163
5350828dece3d87d6bc550ae59c1f716,45.595549,21489077272.2,1409.9989
55b8e288c28c187ed6dde56c7213df9d,5.941645,0.0,
55b8e288c28c187ed6dde56c7213df9d,6.851105,102481759.2,112.6842
55b8e288c28c187ed6dde56c7213df9d,7.503823,184968614.0,126.3744
55b8e288c28c187ed6dde56c7213df9d,8.347987,418847358.8,277.0537
55b8e288c28c187ed6dde56c7213df9d,8.571102,539775721.3,542.0001
55b8e288c28c187ed6dde56c7213df9d,9.481567,1067543357.0,579.6682
55b8e288c28c187ed6dde56c7213df9d,10.793582,2027894526.8,731.9666
55b8e288c28c187ed6dde56c7213df9d,11.412137,2510115633.1,779.5929
55b8e288c28c187ed6dde56c7213df9d,15.142163,7019240179.2,1208.8721
55b8e288c28c187ed6dde56c7213df9d,21.75957,16739439347.3,1468.8834
55b8e288c28c187ed6dde56c7213df9d,22.516598,17893818500.5,1524.883
55b8e288c28c187ed6dde56c7213df9d,38.064816,43150118074.5,1624.3855
55b8e288c28c187ed6dde56c7213df9d,49.690959,64078661001.2,1800.1278
55b8e288c28c187ed6dde56c7213df9d,123.996543,198488211925.7,1808.8755
55b8e288c28c187ed6dde56c7213df9d,135.062283,219119940719.9,1864.469
55b8e288c28c187ed6dde56c7213df9d,135.38015,221037649392.7,6033.0537
619c1be4c89a19705bf8e782db74d127,7.809195,0.0,
619c1be4c89a19705bf8e782db74d127,9.040526,43195508.1,35.0803
619c1be4c89a19705bf8e782db74d127,11.681604,199154243.5,59.0512
619c1be4c89a19705bf8e782db74d127,13.051218,293782299.7,69.091
619c1be4c89a19705bf8e782db74d127,26.882009,1434461368.6,82.4739
619c1be4c89a19705bf8e782db74d127,39.055575,2453632609.4,83.72
619c1be4c89a19705bf8e782db74d127,111.182471,12429341858.9,138.3078
619c1be4c89a19705bf8e782db74d127,435.069057,67162865836.3,168.9898
619c1be4c89a19705bf8e782db74d127,618.81213,99024983621.9,173.4058
619c1be4c89a19705bf8e782db74d127,723.717105,119577537320.1,195.9159
619c1be4c89a19705bf8e782db74d127,887.451754,152937501317.1,203.7441
619c1be4c89a19705bf8e782db74d127,1020.822514,186384173298.1,250.7796
