md5_from,md5_to,MW_forward,MW_reverse
94b7031bb5bd63658dccb1e100b9867e,8bb4fb487323fd17e6ebc62985b328af,4227.8,3795.7
cd68f69f916d3a21378ed4f2c353a5f2,0d9a52e512b77d53cc23d6f85edc0754,3105.4,4183.1
f5c501e8c6a26a4244643ebdfa78a18d,fa341f156b16caed442301bf68792a80,2759.1,2592.0
8bb4fb487323fd17e6ebc62985b328af,265605ffaaddcc3d13d5d95449d2285e,4706.5,4629.5
aedcebc1529b01e8bf77393c81406931,b355cb4ba1b964c33e6ff093d6501ed2,4209.0,6922.5
8bb4fb487323fd17e6ebc62985b328af,95f010dcc44da9cb878c408bfd8e2c56,522.2,794.8
45a1cae9e3fb7425c15bc04bec28af32,f5c501e8c6a26a4244643ebdfa78a18d,1916.1,566.7
94b7031bb5bd63658dccb1e100b9867e,45a1cae9e3fb7425c15bc04bec28af32,6266.7,4638.0
8bb4fb487323fd17e6ebc62985b328af,1942f1e052aae8e41b0202f1d3898d29,4656.3,6307.2
265605ffaaddcc3d13d5d95449d2285e,48285273eb070fb2eef952b7841e433b,2472.6,2412.5
05e8138abf6b899ed6bf8f3327eb0c73,48285273eb070fb2eef952b7841e433b,1847.4,2008.9
265605ffaaddcc3d13d5d95449d2285e,0d9a52e512b77d53cc23d6f85edc0754,6733.0,7438.0
48285273eb070fb2eef952b7841e433b,0d9a52e512b77d53cc23d6f85edc0754,5272.2,4563.2
99076f48936f656075dee0ad0473cfe2,265605ffaaddcc3d13d5d95449d2285e,5714.5,5388.6
99076f48936f656075dee0ad0473cfe2,5327e56dde96d7a470ae99896c2e150b,2257.7,5320.0
99076f48936f656075dee0ad0473cfe2,0d9a52e512b77d53cc23d6f85edc0754,5544.4,6016.6
b355cb4ba1b964c33e6ff093d6501ed2,5327e56dde96d7a470ae99896c2e150b,762.8,1003.5
d357ed0a280ef2316fad80a87b83bbb9,5327e56dde96d7a470ae99896c2e150b,4428.5,7842.7
5327e56dde96d7a470ae99896c2e150b,0d9a52e512b77d53cc23d6f85edc0754,6378.1,3670.8
adcd50d825b05effc897cf1c9945a42f,0e6d1ebe70049054c253caa3b0bc9894,2377.5,2861.1
2d563a3484736c5c0abf1c75f72c8b47,0e6d1ebe70049054c253caa3b0bc9894,1575.9,1623.9
0e6d1ebe70049054c253caa3b0bc9894,a776391918c87ef5bbe6013b44479b51,779.0,994.0
adcd50d825b05effc897cf1c9945a42f,2d563a3484736c5c0abf1c75f72c8b47,3247.5,3011.8
2432b61a95deb1bd1eaff48ee77c2c3c,a776391918c87ef5bbe6013b44479b51,4115.8,3666.7
2d563a3484736c5c0abf1c75f72c8b47,a776391918c87ef5bbe6013b44479b51,4861.6,6856.4
2432b61a95deb1bd1eaff48ee77c2c3c,2d563a3484736c5c0abf1c75f72c8b47,6646.3,6302.4
2432b61a95deb1bd1eaff48ee77c2c3c,b19f485d74cc9bbd10292161965ddd63,3486.6,3542.5
adcd50d825b05effc897cf1c9945a42f,b19f485d74cc9bbd10292161965ddd63,5515.6,6621.1
1315544517f617fb3063314c06e8ada0,bc48e46931508446bfdbea432a3ea7c1,2596.7,2664.5
9acde2284bd986cb9f7bf227da1b6f05,1edae99b477ac27e8012a0fd62efc6b6,2964.6,2014.2
89047c758371287f2807c78629da6052,1edae99b477ac27e8012a0fd62efc6b6,2412.2,2688.2
f9fab923074eb0137e30884c0b7307c8,9acde2284bd986cb9f7bf227da1b6f05,2925.8,3889.2
6b2cad38220d711df155b407af0a7a65,89047c758371287f2807c78629da6052,1258.5,1103.4
9e3c7e6d924a896c321d26776b742b42,9197060f810646e9a4ce241e4c80d957,6232.2,5482.8
6b2cad38220d711df155b407af0a7a65,9acde2284bd986cb9f7bf227da1b6f05,3080.2,3083.6
f9fab923074eb0137e30884c0b7307c8,aabd96cd83dcb191fea0ad9d6919e8dc,2917.8,4221.8
6b2cad38220d711df155b407af0a7a65,1edae99b477ac27e8012a0fd62efc6b6,964.2,1028.1
89047c758371287f2807c78629da6052,9197060f810646e9a4ce241e4c80d957,7541.9,8396.0
6b2cad38220d711df155b407af0a7a65,aabd96cd83dcb191fea0ad9d6919e8dc,9221.4,13989.7
6b2cad38220d711df155b407af0a7a65,f9fab923074eb0137e30884c0b7307c8,4365.2,4357.1
9197060f810646e9a4ce241e4c80d957,1edae99b477ac27e8012a0fd62efc6b6,3268.5,3088.6
d3774dcfca90bff92d7c0a8f599f528f,aabd96cd83dcb191fea0ad9d6919e8dc,4435.5,4101.0
bc48e46931508446bfdbea432a3ea7c1,d3774dcfca90bff92d7c0a8f599f528f,3125.7,4230.4
6b2cad38220d711df155b407af0a7a65,9197060f810646e9a4ce241e4c80d957,7206.7,5323.0
9197060f810646e9a4ce241e4c80d957,9acde2284bd986cb9f7bf227da1b6f05,1203.9,1191.0
6b2cad38220d711df155b407af0a7a65,d3774dcfca90bff92d7c0a8f599f528f,8116.0,6927.3
f9fab923074eb0137e30884c0b7307c8,d3774dcfca90bff92d7c0a8f599f528f,2457.2,2425.8
d3774dcfca90bff92d7c0a8f599f528f,9197060f810646e9a4ce241e4c80d957,6891.1,6166.9
