*r,rtscbin,sc_cat,value
p06001,bin3,cost,3312.63
p06001,bin3,cap,20000
p06003,bin1,cost,107.66
p06003,bin1,cap,1000
p06003,bin2,cost,331.26
p06003,bin2,cap,2000
p06003,bin3,cost,3312.63
p06003,bin3,cap,20000
p06005,bin1,cost,107.66
p06005,bin1,cap,1000
p06005,bin2,cost,331.26
p06005,bin2,cap,2000
p06005,bin3,cost,3312.63
p06005,bin3,cap,20000
p06007,bin1,cost,107.66
p06007,bin1,cap,1000
p06007,bin2,cost,331.26
p06007,bin2,cap,2000
p06007,bin3,cost,3312.63
p06007,bin3,cap,20000
p06009,bin1,cost,107.66
p06009,bin1,cap,1000
p06009,bin2,cost,331.26
p06009,bin2,cap,2000
p06009,bin3,cost,3312.63
p06009,bin3,cap,20000
p06011,bin1,cost,107.66
p06011,bin1,cap,1000
p06011,bin2,cost,331.26
p06011,bin2,cap,2000
p06011,bin3,cost,3312.63
p06011,bin3,cap,20000
p06013,bin1,cost,107.66
p06013,bin1,cap,1000
p06013,bin2,cost,331.26
p06013,bin2,cap,2000
p06013,bin3,cost,3312.63
p06013,bin3,cap,20000
p06015,bin1,cost,107.66
p06015,bin1,cap,1000
p06015,bin2,cost,331.26
p06015,bin2,cap,2000
p06015,bin3,cost,3312.63
p06015,bin3,cap,20000
p06017,bin1,cost,107.66
p06017,bin1,cap,1000
p06017,bin2,cost,331.26
p06017,bin2,cap,2000
p06017,bin3,cost,3312.63
p06017,bin3,cap,20000
p06019,bin1,cost,107.66
p06019,bin1,cap,1000
p06019,bin2,cost,331.26
p06019,bin2,cap,2000
p06019,bin3,cost,3312.63
p06019,bin3,cap,20000
p06021,bin1,cost,107.66
p06021,bin1,cap,1000
p06021,bin2,cost,331.26
p06021,bin2,cap,2000
p06021,bin3,cost,3312.63
p06021,bin3,cap,20000
p06023,bin1,cost,107.66
p06023,bin1,cap,1000
p06023,bin2,cost,331.26
p06023,bin2,cap,2000
p06023,bin3,cost,3312.63
p06023,bin3,cap,20000
p06031,bin1,cost,107.66
p06031,bin1,cap,1000
p06031,bin2,cost,331.26
p06031,bin2,cap,2000
p06031,bin3,cost,3312.63
p06031,bin3,cap,20000
p06033,bin1,cost,107.66
p06033,bin1,cap,1000
p06033,bin2,cost,331.26
p06033,bin2,cap,2000
p06033,bin3,cost,3312.63
p06033,bin3,cap,20000
p06039,bin1,cost,107.66
p06039,bin1,cap,1000
p06039,bin2,cost,331.26
p06039,bin2,cap,2000
p06039,bin3,cost,3312.63
p06039,bin3,cap,20000
p06041,bin1,cost,107.66
p06041,bin1,cap,1000
p06041,bin2,cost,331.26
p06041,bin2,cap,2000
p06041,bin3,cost,3312.63
p06041,bin3,cap,20000
p06043,bin1,cost,107.66
p06043,bin1,cap,1000
p06043,bin2,cost,331.26
p06043,bin2,cap,2000
p06043,bin3,cost,3312.63
p06043,bin3,cap,20000
p06045,bin1,cost,107.66
p06045,bin1,cap,1000
p06045,bin2,cost,331.26
p06045,bin2,cap,2000
p06045,bin3,cost,3312.63
p06045,bin3,cap,20000
