*r,rtscbin,sc_cat,value
p17043,bin2,cost,331.26
p17043,bin2,cap,2000
p17043,bin3,cost,3312.63
p17043,bin3,cap,20000
p17045,bin1,cost,107.66
p17045,bin1,cap,1000
p17045,bin2,cost,331.26
p17045,bin2,cap,2000
p17045,bin3,cost,3312.63
p17045,bin3,cap,20000
p17047,bin1,cost,107.66
p17047,bin1,cap,1000
p17047,bin2,cost,331.26
p17047,bin2,cap,2000
p17047,bin3,cost,3312.63
p17047,bin3,cap,20000
p17049,bin1,cost,107.66
p17049,bin1,cap,1000
p17049,bin2,cost,331.26
p17049,bin2,cap,2000
p17049,bin3,cost,3312.63
p17049,bin3,cap,20000
p17051,bin1,cost,107.66
p17051,bin1,cap,1000
p17051,bin2,cost,331.26
p17051,bin2,cap,2000
p17051,bin3,cost,3312.63
p17051,bin3,cap,20000
p17053,bin1,cost,107.66
p17053,bin1,cap,1000
p17053,bin2,cost,331.26
p17053,bin2,cap,2000
p17053,bin3,cost,3312.63
p17053,bin3,cap,20000
p17055,bin1,cost,107.66
p17055,bin1,cap,1000
p17055,bin2,cost,331.26
p17055,bin2,cap,2000
p17055,bin3,cost,3312.63
p17055,bin3,cap,20000
p17057,bin1,cost,107.66
p17057,bin1,cap,1000
p17057,bin2,cost,331.26
p17057,bin2,cap,2000
p17057,bin3,cost,3312.63
p17057,bin3,cap,20000
p17059,bin1,cost,107.66
p17059,bin1,cap,1000
p17059,bin2,cost,331.26
p17059,bin2,cap,2000
p17059,bin3,cost,3312.63
p17059,bin3,cap,20000
p17061,bin1,cost,107.66
p17061,bin1,cap,1000
p17061,bin2,cost,331.26
p17061,bin2,cap,2000
p17061,bin3,cost,3312.63
p17061,bin3,cap,20000
p17063,bin1,cost,107.66
p17063,bin1,cap,1000
p17063,bin2,cost,331.26
p17063,bin2,cap,2000
p17063,bin3,cost,3312.63
p17063,bin3,cap,20000
p17065,bin1,cost,107.66
p17065,bin1,cap,1000
p17065,bin2,cost,331.26
p17065,bin2,cap,2000
p17065,bin3,cost,3312.63
p17065,bin3,cap,20000
p17067,bin1,cost,107.66
p17067,bin1,cap,1000
p17067,bin2,cost,331.26
p17067,bin2,cap,2000
p17067,bin3,cost,3312.63
p17067,bin3,cap,20000
p17069,bin1,cost,107.66
p17069,bin1,cap,1000
p17069,bin2,cost,331.26
p17069,bin2,cap,2000
p17069,bin3,cost,3312.63
p17069,bin3,cap,20000
p17071,bin1,cost,107.66
p17071,bin1,cap,1000
p17071,bin2,cost,331.26
p17071,bin2,cap,2000
p17071,bin3,cost,3312.63
p17071,bin3,cap,20000
p17073,bin1,cost,107.66
p17073,bin1,cap,1000
p17073,bin2,cost,331.26
p17073,bin2,cap,2000
p17073,bin3,cost,3312.63
p17073,bin3,cap,20000
p17075,bin1,cost,107.66
p17075,bin1,cap,1000
p17075,bin2,cost,331.26
p17075,bin2,cap,2000
p17075,bin3,cost,3312.63
p17075,bin3,cap,20000
p17077,bin1,cost,107.66
p17077,bin1,cap,1000
p17077,bin2,cost,331.26
p17077,bin2,cap,2000
p17077,bin3,cost,3312.63
p17077,bin3,cap,20000
p17079,bin1,cost,107.66
p17079,bin1,cap,1000
p17079,bin2,cost,331.26
p17079,bin2,cap,2000
p17079,bin3,cost,3312.63
p17079,bin3,cap,20000
p17081,bin1,cost,107.66
p17081,bin1,cap,1000
p17081,bin2,cost,331.26
p17081,bin2,cap,2000
p17081,bin3,cost,3312.63
p17081,bin3,cap,20000
p17083,bin1,cost,107.66
p17083,bin1,cap,1000
p17083,bin2,cost,331.26
p17083,bin2,cap,2000
p17083,bin3,cost,3312.63
p17083,bin3,cap,20000
p17085,bin1,cost,107.66
p17085,bin1,cap,1000
p17085,bin2,cost,331.26
p17085,bin2,cap,2000
p17085,bin3,cost,3312.63
p17085,bin3,cap,20000
p17087,bin1,cost,107.66
p17087,bin1,cap,1000
p17087,bin2,cost,331.26
p17087,bin2,cap,2000
p17087,bin3,cost,3312.63
p17087,bin3,cap,20000
p17089,bin1,cost,107.66
p17089,bin1,cap,1000
p17089,bin2,cost,331.26
p17089,bin2,cap,2000
p17089,bin3,cost,3312.63
p17089,bin3,cap,20000
p17091,bin1,cost,107.66
p17091,bin1,cap,1000
p17091,bin2,cost,331.26
p17091,bin2,cap,2000
p17091,bin3,cost,3312.63
p17091,bin3,cap,20000
p17093,bin1,cost,107.66
p17093,bin1,cap,1000
p17093,bin2,cost,331.26
p17093,bin2,cap,2000
p17093,bin3,cost,3312.63
p17093,bin3,cap,20000
p17095,bin1,cost,107.66
p17095,bin1,cap,1000
p17095,bin2,cost,331.26
p17095,bin2,cap,2000
p17095,bin3,cost,3312.63
p17095,bin3,cap,20000
p17097,bin1,cost,107.66
p17097,bin1,cap,1000
p17097,bin2,cost,331.26
p17097,bin2,cap,2000
p17097,bin3,cost,3312.63
p17097,bin3,cap,20000
p17099,bin1,cost,107.66
p17099,bin1,cap,1000
p17099,bin2,cost,331.26
p17099,bin2,cap,2000
p17099,bin3,cost,3312.63
p17099,bin3,cap,20000
p17101,bin1,cost,107.66
p17101,bin1,cap,1000
p17101,bin2,cost,331.26
p17101,bin2,cap,2000
p17101,bin3,cost,3312.63
p17101,bin3,cap,20000
p17103,bin1,cost,107.66
p17103,bin1,cap,1000
p17103,bin2,cost,331.26
p17103,bin2,cap,2000
p17103,bin3,cost,3312.63
p17103,bin3,cap,20000
p17105,bin1,cost,107.66
p17105,bin1,cap,1000
p17105,bin2,cost,331.26
p17105,bin2,cap,2000
p17105,bin3,cost,3312.63
p17105,bin3,cap,20000
p17107,bin1,cost,107.66
p17107,bin1,cap,1000
p17107,bin2,cost,331.26
p17107,bin2,cap,2000
p17107,bin3,cost,3312.63
p17107,bin3,cap,20000
p17109,bin1,cost,107.66
p17109,bin1,cap,1000
p17109,bin2,cost,331.26
p17109,bin2,cap,2000
p17109,bin3,cost,3312.63
p17109,bin3,cap,20000
p17111,bin1,cost,107.66
p17111,bin1,cap,1000
p17111,bin2,cost,331.26
p17111,bin2,cap,2000
p17111,bin3,cost,3312.63
p17111,bin3,cap,20000
p17113,bin1,cost,107.66
p17113,bin1,cap,1000
p17113,bin2,cost,331.26
p17113,bin2,cap,2000
p17113,bin3,cost,3312.63
p17113,bin3,cap,20000
p17115,bin1,cost,107.66
p17115,bin1,cap,1000
p17115,bin2,cost,331.26
p17115,bin2,cap,2000
p17115,bin3,cost,3312.63
p17115,bin3,cap,20000
p17117,bin1,cost,107.66
p17117,bin1,cap,1000
p17117,bin2,cost,331.26
p17117,bin2,cap,2000
p17117,bin3,cost,3312.63
p17117,bin3,cap,20000
p17119,bin1,cost,107.66
p17119,bin1,cap,1000
p17119,bin2,cost,331.26
p17119,bin2,cap,2000
p17119,bin3,cost,3312.63
p17119,bin3,cap,20000
p17121,bin1,cost,107.66
p17121,bin1,cap,1000
p17121,bin2,cost,331.26
p17121,bin2,cap,2000
p17121,bin3,cost,3312.63
p17121,bin3,cap,20000
p17123,bin1,cost,107.66
p17123,bin1,cap,1000
p17123,bin2,cost,331.26
p17123,bin2,cap,2000
p17123,bin3,cost,3312.63
p17123,bin3,cap,20000
p17125,bin1,cost,107.66
p17125,bin1,cap,1000
p17125,bin2,cost,331.26
p17125,bin2,cap,2000
p17125,bin3,cost,3312.63
p17125,bin3,cap,20000
p17127,bin1,cost,107.66
p17127,bin1,cap,1000
p17127,bin2,cost,331.26
p17127,bin2,cap,2000
p17127,bin3,cost,3312.63
p17127,bin3,cap,20000
p17129,bin1,cost,107.66
p17129,bin1,cap,1000
p17129,bin2,cost,331.26
p17129,bin2,cap,2000
p17129,bin3,cost,3312.63
p17129,bin3,cap,20000
p17131,bin1,cost,107.66
p17131,bin1,cap,1000
p17131,bin2,cost,331.26
p17131,bin2,cap,2000
p17131,bin3,cost,3312.63
p17131,bin3,cap,20000
p17133,bin1,cost,107.66
p17133,bin1,cap,1000
p17133,bin2,cost,331.26
p17133,bin2,cap,2000
p17133,bin3,cost,3312.63
p17133,bin3,cap,20000
p17135,bin1,cost,107.66
p17135,bin1,cap,1000
p17135,bin2,cost,331.26
p17135,bin2,cap,2000
p17135,bin3,cost,3312.63
p17135,bin3,cap,20000
p17137,bin1,cost,107.66
p17137,bin1,cap,1000
p17137,bin2,cost,331.26
p17137,bin2,cap,2000
p17137,bin3,cost,3312.63
p17137,bin3,cap,20000
p17139,bin1,cost,107.66
p17139,bin1,cap,1000
p17139,bin2,cost,331.26
p17139,bin2,cap,2000
p17139,bin3,cost,3312.63
p17139,bin3,cap,20000
p17141,bin1,cost,107.66
p17141,bin1,cap,1000
p17141,bin2,cost,331.26
p17141,bin2,cap,2000
p17141,bin3,cost,3312.63
p17141,bin3,cap,20000
p17143,bin1,cost,107.66
p17143,bin1,cap,1000
p17143,bin2,cost,331.26
p17143,bin2,cap,2000
p17143,bin3,cost,3312.63
p17143,bin3,cap,20000
