sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
93303,8,275.84,0,0.9945,163
93304,8,218.75,0,0.9945,162
93305,7,478.31,0,0.9948,185
93306,8,305.46,0,0.9945,160
93307,8,363.36,0,0.9946,169
93308,8,503.85,0,0.9946,173
93309,8,401.08,0,0.9946,168
93310,8,452.11,0,0.9946,168
93311,8,388.63,0,0.9945,165
93312,8,424.66,0,0.9945,165
93313,8,454.47,0,0.9945,164
93314,8,481.61,0,0.9945,165
93315,8,495.69,0,0.9945,166
93316,8,541.38,0,0.9946,168
93317,8,536.2,0,0.9946,170
93318,8,498.2,0,0.9946,170
93319,8,530.4,0,0.9946,168
93320,8,578.6,0,0.9946,169
93321,8,510.19,0,0.9946,170
93322,8,519.28,0,0.9946,171
93323,8,512.16,0,0.9946,170
93324,8,343.67,0,0.9946,168
93325,8,303.94,0,0.9946,167
93326,8,359.43,0,0.9945,165
93327,8,347.91,0,0.9945,165
93328,8,280.93,0,0.9946,167
93329,8,360.24,0,0.9946,167
93330,8,454.56,0,0.9946,170
93331,8,515.01,0,0.9946,168
93332,8,476.08,0,0.9946,167
93333,8,353.7,0,0.9945,164
93334,8,255.66,0,0.9944,159
93335,8,404.15,0,0.9944,157
93336,8,396.92,0,0.9944,156
93337,8,481.22,0,0.9945,160
93338,8,470.71,0,0.9945,161
93339,8,466.51,0,0.9945,159
93340,8,476.49,0,0.9945,159
93341,8,459.28,0,0.9944,156
93342,8,444.15,0,0.9944,154
93343,7,641.65,0,0.9947,181
93344,8,399.79,0,0.9944,155
93345,8,374.01,0,0.9944,154
93346,8,282.71,0,0.9943,152
93347,8,374.2,0,0.9944,153
93348,8,385.67,0,0.9944,153
93349,8,378.54,0,0.9944,154
93350,8,394.12,0,0.9944,153
93351,8,388.76,0,0.9944,154
93352,8,387.41,0,0.9944,154
93353,8,368.37,0,0.9944,153
93354,7,456.44,0,0.9947,177
93355,7,376.46,0,0.9947,177
93356,8,226.55,0,0.9944,155
93357,8,232.2,0,0.9944,156
93358,7,304.55,0,0.9947,175
93359,8,402.04,0,0.9947,174
93360,8,262.94,0,0.9947,172
93361,8,198.45,0,0.9947,171
93362,8,217.31,0,0.9947,170
93363,8,166.75,0,0.9946,168
93364,8,99.6,0,0.9946,163
93365,8,94.53,0,0.9946,162
93366,8,103.91,0,0.9946,163
93367,8,131.58,0,0.9946,168
93368,8,127.43,0,0.9947,171
93369,8,121.83,0,0.9947,170
93370,8,67.65,0,0.9947,169
93371,8,58.76,0,0.9946,168
93372,8,125.31,0,0.9946,168
93373,8,154.57,0,0.9946,166
93374,8,80.86,0,0.9946,165
93375,8,51.38,0,0.9946,164
93376,8,51.35,0,0.9946,164
93377,8,52.34,0,0.9946,163
93378,8,49.01,0,0.9946,163
93379,8,47.07,0,0.9946,165
93380,8,47.98,0,0.9946,164
93381,8,80.39,0,0.9946,165
93382,8,58.18,0,0.9946,165
93383,8,61.24,0,0.9946,164
93384,8,69.82,0,0.9946,163
93385,8,61.78,0,0.9946,163
93386,8,49.35,0,0.9945,161
93387,8,36.29,0,0.9945,158
93388,8,40.04,0,0.9945,158
93389,8,47.52,0,0.9945,159
93390,8,57.55,0,0.9945,160
93391,8,43.73,0,0.9945,161
93392,8,46.1,0,0.9946,161
93393,8,43.38,0,0.9945,161
93394,8,49.95,0,0.9945,161
93395,8,55.73,0,0.9946,161
93396,8,50.79,0,0.9945,161
93397,8,47.34,0,0.9946,164
93398,8,55.14,0,0.9946,165
