sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp,mean_resource_depth,lcoe_site_usd_per_mwh,lcoe_all_in_usd_per_mwh
137026,6,64.03,0,0.9948,202,6000,81.28916,82.77181
137027,6,252.37,0,0.9948,204,6000,81.18193,82.888565
137028,6,122.4,0,0.9948,206,6000,80.99393,82.886055
137029,6,49.33,0,0.9949,215,6000,80.15487,82.25111
137030,7,9.34,0,0.9947,178,5000,79.766785,83.28306
137031,7,15.99,0,0.9947,177,5000,79.79523,82.984566
137032,8,49.83,0,0.9944,158,4000,78.35684,81.296265
137033,8,70.96,0,0.9943,153,4000,79.186714,81.741875
137034,7,619.48,0,0.9947,184,5000,78.96444,81.84262
137035,7,704.3,0,0.9947,185,5000,78.9101,82.452385
137036,7,696.94,0,0.9947,179,5000,79.58997,83.10351
137037,8,624.68,0,0.9946,172,5000,80.59073,84.19064
137038,8,544.89,0,0.9946,168,5000,81.226906,85.14042
137039,7,815.48,0,0.9948,192,6000,82.420746,86.56765
137040,7,760.76,0,0.9948,187,6000,83.05585,87.4545
137041,7,676.08,0,0.9948,184,6000,83.46609,88.11681
137042,7,668.66,0,0.9947,182,6000,83.76621,89.016716
137043,7,633.64,0,0.9947,178,6000,84.44265,89.511635
137044,7,649.62,0,0.9947,179,6000,84.24408,89.08804
137045,7,697.41,0,0.9947,182,6000,83.84066,88.46193
137046,7,642.4,0,0.9947,178,6000,84.33105,88.77147
137047,7,603.93,0,0.9947,177,6000,84.58675,88.84884
137048,7,619.15,0,0.9947,178,6000,84.375435,88.458534
137049,7,637.97,0,0.9947,178,6000,84.35393,88.6164
137050,8,617.4,0,0.9947,174,6000,84.97797,89.68594
137051,8,615.82,0,0.9947,174,6000,85.06934,90.38284
137052,8,496.35,0,0.9947,175,6000,84.92311,90.09099
137053,8,593.92,0,0.9947,174,6000,85.05007,90.30506
137054,8,588.53,0,0.9947,173,6000,85.27597,89.3117
137055,8,610.36,0,0.9947,175,6000,84.928154,88.63074
137056,8,568.59,0,0.9947,173,6000,85.25093,89.56153
137057,8,614.32,0,0.9947,173,6000,85.23455,89.576614
137058,7,625.7,0,0.9947,176,6000,84.729675,88.02294
137059,8,413.61,0,0.9944,153,5000,84.35794,87.47882
137060,8,398.05,0,0.9944,155,5000,83.85506,86.80367
137061,7,725.19,0,0.9948,187,6000,83.13075,86.277016
137062,7,710.58,0,0.9948,191,6000,82.58888,85.9225
