sc_point_gid,class,capacity,capital_adder_per_mw,cf
176957,1,530.78,505302.96,0.2927
176958,7,530.84,-25663.42,0.2955
176959,7,464.88,387546.86,0.2983
176963,7,459.21,1099786.7,0.3081
176964,7,530.84,993351.8,0.3098
176965,7,530.84,1021962.36,0.3117
176966,7,530.84,1018485.17,0.3138
176967,7,530.84,1019728.61,0.3153
176968,7,530.84,1024652.72,0.3164
176969,7,530.84,1041836.97,0.317
176970,7,530.84,1064768.6,0.3169
176971,7,530.84,1087201.62,0.3169
176972,7,530.84,1110624.95,0.3168
176973,7,530.84,1133525.33,0.3162
176974,7,530.84,1154367.04,0.3156
176975,7,530.84,1174547.9,0.3153
176976,7,530.84,1198988.95,0.3147
176977,7,487.98,1345418.95,0.3151
176978,7,514.97,1333124.66,0.3153
176979,7,530.84,1327948.26,0.3152
176980,7,530.84,1346555.07,0.3149
176981,7,530.84,1342501.02,0.3148
176982,7,530.84,1349456.94,0.3146
176983,7,530.84,1371430.67,0.3145
176984,7,530.84,1407022.1,0.3146
176985,7,530.84,1466303.21,0.3142
176986,7,530.84,1541388.78,0.3136
176987,7,424.93,1772352.54,0.3133
177569,2,18.11,1516572.61,0.3156
177570,2,217.7,389459.66,0.316
177571,2,280.36,137403.04,0.3153
177572,2,156.85,1131276.82,0.3147
177573,2,33.79,1684694.72,0.3142
177574,2,22.16,1724391.03,0.3138
177575,2,175.28,956852.23,0.314
177576,2,231.47,373670.66,0.3131
177577,2,300.64,117524.71,0.3105
177578,2,524.56,45079.28,0.3087
177579,2,528.67,82838.74,0.3073
177580,2,528.06,95759.28,0.3069
177581,2,530.81,99701.98,0.306
177582,2,182.41,983963.43,0.3054
177583,2,525.27,271986.25,0.3052
177584,7,530.78,-445472.74,0.3051
177585,7,530.84,-59203.4,0.3046
177586,7,350.08,153781.51,0.304
177606,1,60.91,1948747.85,0.2898
177607,1,202.82,915433.6,0.2906
177608,1,215.33,727526.93,0.291
177609,1,151.11,1376448.47,0.2909
177610,1,273.78,348713.8,0.2894
177611,1,530.32,164230.78,0.2874
177612,1,426.51,193454.0,0.285
177613,1,71.15,1807975.36,0.2837
177635,1,25.86,1841015.08,0.2786
177636,1,70.79,1828660.58,0.2789
177637,1,426.81,238632.88,0.2832
177638,1,530.45,238487.34,0.2848
177639,1,530.84,260542.57,0.287
177640,1,530.84,322690.52,0.2892
177641,1,530.84,431578.86,0.2911
177642,7,530.84,-220792.84,0.2939
