sc_point_gid,class,capacity,capital_adder_per_mw,cf
61978,10,211.18,1056134.59,0.4969
61979,9,19.34,3102281.57,0.4943
62400,8,28.38,4912662.45,0.42
62401,8,279.06,1189386.67,0.4169
62402,8,172.5,2356635.73,0.4137
62403,8,345.71,597485.0,0.4093
62404,8,23.1,3539200.93,0.4054
62636,8,180.57,1550098.57,0.3827
62637,8,408.6,145742.54,0.3938
62638,8,530.81,-1338.33,0.4077
62639,8,530.84,27398.53,0.4232
62640,9,530.84,43356.81,0.4352
62641,9,530.84,44081.19,0.4451
62642,9,530.84,38166.04,0.4522
62643,9,530.84,30874.89,0.4569
62644,9,472.98,107851.02,0.4599
62645,9,69.37,3190660.56,0.4616
62655,10,476.18,220194.57,0.4959
62656,10,530.84,155594.4,0.5005
62657,10,530.84,174780.89,0.5034
62658,10,530.84,116340.46,0.5053
62659,10,530.84,74551.57,0.5059
62660,10,530.84,73406.96,0.5048
62661,10,530.84,-34374.0,0.5022
