source_id,source_kind,tech,region,capacity_mw,start_year,energy_mwh
PR100_DPV_2022_pr29,pr100_distributed_pv_2022,dupv,pr29,7.082047071486955,2009,
PR100_DPV_2022_pr32,pr100_distributed_pv_2022,dupv,pr32,11.649598962375,2009,
PR100_DPV_2022_pr35,pr100_distributed_pv_2022,dupv,pr35,10.585734516125,2009,
PR100_DPV_2022_pr38,pr100_distributed_pv_2022,dupv,pr38,4.39276045303125,2009,
PR100_DPV_2022_pr40,pr100_distributed_pv_2022,dupv,pr40,4.63693750040625,2009,
PR100_DPV_2022_pr41,pr100_distributed_pv_2022,dupv,pr41,14.056021478,2009,
PR100_DPV_2022_pr45,pr100_distributed_pv_2022,dupv,pr45,15.50146666537778,2009,
PR100_DPV_2022_pr50,pr100_distributed_pv_2022,dupv,pr50,9.475927497467744,2009,
PR100_DPV_2022_pr63,pr100_distributed_pv_2022,dupv,pr63,2.79977254928366,2009,
PR100_DPV_2022_pr82,pr100_distributed_pv_2022,dupv,pr82,14.123442001250895,2009,
PR100_DPV_2022_pr84,pr100_distributed_pv_2022,dupv,pr84,19.387822628540324,2009,
PR100_DPV_2022_pr85,pr100_distributed_pv_2022,dupv,pr85,11.853997917217743,2009,
PR100_DPV_2022_pr86,pr100_distributed_pv_2022,dupv,pr86,8.122223569258066,2009,
PR100_DPV_2022_pr87,pr100_distributed_pv_2022,dupv,pr87,31.13519034882258,2009,
PR100_DPV_2022_pr88,pr100_distributed_pv_2022,dupv,pr88,2.707407856419356,2009,
PR100_DPV_2022_pr93,pr100_distributed_pv_2022,dupv,pr93,24.87517648117647,2009,
PR100_DPV_2022_pr100,pr100_distributed_pv_2022,dupv,pr100,13.073107158375,2009,
PR100_DPV_2022_pr102,pr100_distributed_pv_2022,dupv,pr102,1.8948919517408087,2009,
PR100_DPV_2022_pr103,pr100_distributed_pv_2022,dupv,pr103,3.7705532947058815,2009,
PR100_DPV_2022_pr106,pr100_distributed_pv_2022,dupv,pr106,2.6378726946000004,2009,
PR100_DPV_2022_pr111,pr100_distributed_pv_2022,dupv,pr111,0.5345333332888887,2009,
PR100_DPV_2022_pr116,pr100_distributed_pv_2022,dupv,pr116,8.057648943373913,2009,
PR100_DPV_2022_pr127,pr100_distributed_pv_2022,dupv,pr127,0.676851964104839,2009,
PR100_DPV_2022_pr149,pr100_distributed_pv_2022,dupv,pr149,0.450757312,2009,
PR100_DPV_2022_pr153,pr100_distributed_pv_2022,dupv,pr153,11.547612323058823,2009,
PR100_DPV_2022_pr167,pr100_distributed_pv_2022,dupv,pr167,0.35668750003125,2009,
PR100_DPV_2022_pr169,pr100_distributed_pv_2022,dupv,pr169,12.544596449,2009,
PR100_DPV_2022_pr190,pr100_distributed_pv_2022,dupv,pr190,0.5345333332888887,2009,
PR100_DPV_2022_pr211,pr100_distributed_pv_2022,dupv,pr211,3.938167265555556,2009,
PR100_DPV_2022_pr213,pr100_distributed_pv_2022,dupv,pr213,8.6287755725,2009,
PR100_DPV_2022_pr231,pr100_distributed_pv_2022,dupv,pr231,1.450943275304348,2009,
PR100_DPV_2022_pr233,pr100_distributed_pv_2022,dupv,pr233,0.4900384615384619,2009,
PR100_DPV_2022_pr234,pr100_distributed_pv_2022,dupv,pr234,13.171634509714284,2009,
PR100_DPV_2022_pr271,pr100_distributed_pv_2022,dupv,pr271,1.0690666665777775,2009,
