municipality_key,year,pv_mw,storage_mw,storage_mwh
guayanilla,2022,0.0,0.566765203,2.267060808
guayanilla,2025,2.563554887,1.0017823510000001,4.0071294015
guayanilla,2028,3.274191993,1.136578887,4.546315547
guayanilla,2030,3.692909114,1.292442546,5.169770178
guayanilla,2035,4.4319331165,1.836281673,7.3451266955
guayanilla,2040,5.250164226,2.686404713,10.745618858
guayanilla,2045,7.845475229500001,3.6661559905,14.664623959
guayanilla,2050,9.9574915,4.45344959,17.813798355000003
guaynabo,2022,0.0,6.110830648,24.443322589999998
guaynabo,2025,28.498019036000002,11.1934056735,44.773622685
guaynabo,2028,36.397888834,12.739470329,50.957881319
guaynabo,2030,41.052600314,14.592652171000001,58.370608687
guaynabo,2035,49.268035932,20.997757566,83.991030252
guaynabo,2040,58.363985412,30.853965663,123.415862665
guaynabo,2045,87.2150245625,42.1643654705,168.657461869
guaynabo,2050,110.693468546,51.241675414,204.966701655
gurabo,2022,0.0,5.6767375,22.707444437
gurabo,2025,8.631699955999999,6.4730332915,25.892133160999997
gurabo,2028,11.024473491,6.781366977999999,27.125467915
gurabo,2030,12.434328433000001,7.205986036,28.823944153
gurabo,2035,14.9226829785,8.624120638,34.496482554500005
gurabo,2040,17.677734359,10.678526417,42.714105665000005
gurabo,2045,26.416359773,12.995549768,51.982199074
gurabo,2050,33.527692101999996,14.845647632,59.382590522
hatillo,2022,0.0,1.3785520199999999,5.514208074
hatillo,2025,5.50864584,2.144788739,8.579154954
hatillo,2028,7.035684785,2.427870715,9.711482856
hatillo,2030,7.935437047000001,2.746149552,10.984598209
hatillo,2035,9.5234746295,3.8651150719999996,15.460460289999999
hatillo,2040,11.281714884,5.635842103,22.543368404
hatillo,2045,16.8585992505,7.683299622,30.7331984975
hatillo,2050,21.396964982,9.330129182,37.320516738
hormigueros,2022,1.9562038990000001,0.790499985,3.1619999389999998
hormigueros,2025,2.3630353405,0.9642772610000001,3.8571090465
hormigueros,2028,2.960379734,1.063593727,4.254374911999999
hormigueros,2030,3.3123432310000003,1.1652510680000001,4.661004265
hormigueros,2035,3.933548966,1.532234455,6.1289378160000005
hormigueros,2040,4.621334278,2.137334837,8.549339349
hormigueros,2045,6.8028900430000006,2.8445044865,11.378017943500002
hormigueros,2050,8.578199921,3.415041387,13.660165544
humacao,2022,12.741,3.255105,13.02042
humacao,2025,16.517205261999997,5.7177506655000006,22.8710026555
humacao,2028,20.262478921000003,6.582076432000001,26.32830573
humacao,2030,22.469245459,7.737279051000001,30.949116197
humacao,2035,26.364126705,11.6228576195,46.491430474
humacao,2040,30.676453482,17.32519266,69.300770639
humacao,2045,44.354531712500005,23.781169994499997,95.1246799785
humacao,2050,55.485499727,28.942014241000003,115.768056956
isabela,2022,6.307459297,1.543973751,6.1758950079999995
isabela,2025,7.019952351500001,2.4115263055,9.6461052255
isabela,2028,8.689346764,2.706459766,10.82583907
isabela,2030,9.672976821,2.999003884,11.996015534
isabela,2035,11.40905636,4.064920588,16.2596823525
isabela,2040,13.331205412,5.846780645,23.387122578
isabela,2045,19.427984834,7.9363982664999995,31.745593065500003
isabela,2050,24.389431574,9.623928919,38.49571567700001
jayuya,2022,0.0,0.303984991,1.215939965
jayuya,2025,1.754431824,0.69777757,2.791110287
jayuya,2028,2.240773802,0.800201529,3.20080612
jayuya,2030,2.5273331580000002,0.9326324290000001,3.730529712
jayuya,2035,3.033102407,1.381666932,5.526667731
jayuya,2040,3.593078985,2.050205062,8.200820251
jayuya,2045,5.3692438905,2.8102720994999997,11.241088404500001
jayuya,2050,6.814654156,3.418613363,13.674453446
juana diaz,2022,15.084968537,9.321329754,37.286220004
juana diaz,2025,16.7390845685,9.432192776499999,37.7287711105
juana diaz,2028,18.118973527999998,9.635729184999999,38.542916737999995
juana diaz,2030,19.070801945,9.976388261,39.905553039000004
juana diaz,2035,21.004737957,11.066895918,44.267583667
juana diaz,2040,22.780628617999998,12.520401424,50.08160569
