tech,sc_point_gid,region,class,capacity_mw
wind-ofs,260,pr97144,2,5.030099999999999
wind-ofs,261,pr40,2,7.1199
wind-ofs,265,pr99,2,45.51389999999999
wind-ofs,266,pr84,2,98.1477
wind-ofs,267,pr82,2,115.911
wind-ofs,268,pr211,1,5.054399999999999
wind-ofs,269,pr18,1,16.3782
wind-ofs,270,pr18,2,297.0918
wind-ofs,271,pr18,3,284.7474
wind-ofs,272,pr18,3,492.1236
wind-ofs,273,pr18,3,334.8297
wind-ofs,281,pr231,2,548.5482
wind-ofs,282,pr231,1,597.0753
wind-ofs,283,pr231,1,539.5086
wind-ofs,284,pr231,1,390.7683
wind-ofs,285,pr231,1,84.7341
wind-ofs,297,pr18,1,296.2413
wind-ofs,298,pr18,2,483.5214
wind-ofs,299,pr18,2,291.5028
wind-ofs,300,pr18,3,521.8181999999999
wind-ofs,301,pr18,3,62.81549999999999
wind-ofs,309,pr428,1,163.27169999999998
wind-ofs,310,pr428,1,598.6547999999999
wind-ofs,311,pr428,1,558.0495
wind-ofs,312,pr428,1,333.73619999999994
wind-ofs,313,pr116,1,337.11389999999994
wind-ofs,324,pr2002,1,304.5762
wind-ofs,325,pr2002,1,393.9759
wind-ofs,326,pr101,2,289.5831
wind-ofs,327,pr101,2,140.84279999999998
wind-ofs,328,pr101,4,535.2561000000001
wind-ofs,329,pr101,4,242.6598
wind-ofs,337,pr116,1,160.9389
wind-ofs,338,pr116,1,581.6205
wind-ofs,339,pr116,1,530.1531
wind-ofs,340,pr116,1,318.0141
wind-ofs,341,pr116,2,114.64739999999998
wind-ofs,344,pr96,4,22.6962
wind-ofs,346,pr1078,4,24.6402
wind-ofs,351,pr1025,2,60.9444
wind-ofs,352,pr5,1,312.1335
wind-ofs,353,pr2002,2,273.3021
wind-ofs,354,pr2002,3,149.0562
wind-ofs,355,pr101,4,96.7383
wind-ofs,356,pr101,4,54.9666
wind-ofs,357,pr101,4,6.9255
wind-ofs,365,pr116,2,483.1326
wind-ofs,366,pr116,1,228.0312
wind-ofs,367,pr116,1,287.1045
wind-ofs,368,pr116,2,500.9202
wind-ofs,369,pr116,3,209.0772
wind-ofs,371,pr23,5,276.5583
wind-ofs,372,pr319,5,529.8857999999999
wind-ofs,373,pr1077,5,524.8799999999999
wind-ofs,374,pr3,5,308.00249999999994
wind-ofs,375,pr1800,5,329.2407
wind-ofs,376,pr106,5,439.1253
wind-ofs,377,pr321,5,459.4158
wind-ofs,378,pr334,5,375.9939
wind-ofs,379,pr184,4,94.1868
wind-ofs,380,pr1025,4,31.9302
wind-ofs,397,pr23,4,12.392999999999995
wind-ofs,399,pr23,5,161.5464
wind-ofs,400,pr319,5,206.4528
wind-ofs,401,pr319,5,174.3768
wind-ofs,402,pr1077,5,283.1922
wind-ofs,403,pr1800,5,375.4107
wind-ofs,404,pr106,5,575.6669999999999
wind-ofs,405,pr321,5,598.9707
wind-ofs,406,pr321,5,458.6868
wind-ofs,407,pr184,5,465.831
wind-ofs,408,pr184,4,224.2404
wind-ofs,432,pr106,5,57.5424
wind-ofs,433,pr321,5,156.3948
wind-ofs,434,pr321,5,51.5889
wind-ofs,435,pr184,5,100.35899999999998
wind-ofs,436,pr184,5,159.2865
wind-ofs,437,pr1025,5,28.5768
