region,asset_type,reeds_tech_candidate,fuel,prime_mover,available,asset_count,capacity_mw,active_power_mw
pr234,StandardLoad,load,,,True,33,105.60362902714286,84.49522992714282
pr266,RenewableFix,dupv,,PVe,True,1,3.0651899300000003,3.0651899300000003
pr266,StandardLoad,load,,,False,1,7.661999999999999,7.661999999999999
pr266,StandardLoad,load,,,True,1,8.875256907,7.077445032
pr271,RenewableFix,dupv,,PVe,True,2,0.08405794,0.08405794
pr271,StandardLoad,load,,,False,2,0.22,0.22
pr271,StandardLoad,load,,,True,2,7.617822866666667,5.9964295511111105
pr275,RenewableFix,dupv,,PVe,True,4,2.963251090821699,2.963251090821699
pr275,StandardLoad,load,,,False,4,5.449,5.449
pr275,StandardLoad,load,,,True,4,7.229513193999999,5.74266767
pr280,RenewableFix,dupv,,PVe,True,1,9.73061973,9.73061973
pr280,StandardLoad,load,,,False,1,23.108,23.108
pr280,StandardLoad,load,,,True,1,4.2455050137096775,3.1162709637096775
pr281,RenewableFix,dupv,,PVe,True,1,1.81724528,1.81724528
pr281,StandardLoad,load,,,False,1,3.9510000000000005,3.9510000000000005
pr281,StandardLoad,load,,,True,1,5.96920140125,4.72877376
pr29,RenewableFix,dupv,,PVe,True,17,22.130143311723288,22.130143311723288
pr29,StandardLoad,load,,,False,18,48.762,48.762
pr29,StandardLoad,load,,,True,17,51.48911679463768,39.854897814000005
pr29,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,True,4,231.5,173.29999999999998
pr290,HydroDispatch,hydED,,HY,False,1,18.0,0.0
pr296,RenewableDispatch,upv,,PVe,True,1,383.76276791107773,383.76276791107773
pr296,RenewableFix,dupv,,PVe,True,16,22.1758334934324,22.1758334934324
pr296,StandardLoad,load,,,False,16,51.24700000000001,51.24700000000001
pr296,StandardLoad,load,,,True,16,35.82558068400001,28.611870194500007
pr3,RenewableFix,dupv,,PVe,True,31,25.308547898675755,25.308547898675755
pr3,StandardLoad,load,,,False,32,96.56000000000003,96.56000000000003
pr3,StandardLoad,load,,,True,31,85.14680847647061,67.03373003529414
pr310,RenewableFix,dupv,,PVe,True,1,10.892981540000001,10.892981540000001
pr310,StandardLoad,load,,,False,1,7.85,7.85
pr310,StandardLoad,load,,,True,1,10.5362312975,8.3736135675
pr313,GenericBattery,battery_4,,BA,False,1,4.5,0.0
pr313,RenewableDispatch,upv,,PVe,True,3,99.625,98.197
pr313,RenewableFix,dupv,,PVe,True,21,31.325941098810976,31.325941098810976
pr313,StandardLoad,load,,,False,22,67.86,67.86
pr313,StandardLoad,load,,,True,21,63.32323666058823,51.07030706411764
pr313,ThermalStandard,o-g-s,OTHER,OT,False,1,0.0,0.0
pr319,RenewableFix,dupv,,PVe,True,1,2.0398278100000002,2.0398278100000002
pr319,StandardLoad,load,,,False,1,18.51,18.51
pr319,StandardLoad,load,,,True,1,1.6820572242857144,1.3528431705714283
pr319,ThermalStandard,o-g-s,NATURAL_GAS,ST,True,3,506.8999999999999,445.3430000000001
pr32,RenewableFix,dupv,,PVe,True,22,37.511272284173046,37.511272284173046
pr32,StandardLoad,load,,,False,22,49.099,49.099
pr32,StandardLoad,load,,,True,22,71.21359067079169,56.022439372416656
pr321,RenewableDispatch,upv,,PVe,True,1,80.0,80.0
pr321,RenewableFix,dupv,,PVe,True,1,6.95052104,6.95052104
pr321,StandardLoad,load,,,False,1,26.0,26.0
pr321,StandardLoad,load,,,True,1,1.84132789,1.4528092990909092
pr321,ThermalStandard,coaloldscr,COAL,ST,True,2,520.0000000000001,437.0
pr335,RenewableDispatch,upv,,PVe,True,1,60.0,60.0
pr335,RenewableFix,dupv,,PVe,True,20,24.878402835257955,24.878402835257955
pr335,StandardLoad,load,,,False,20,47.891999999999996,47.891999999999996
pr335,StandardLoad,load,,,True,20,54.70224419979166,43.25267535
pr343,RenewableFix,dupv,,PVe,True,1,0.43635964000000005,0.43635964000000005
pr343,StandardLoad,load,,,False,1,1.083,1.083
pr343,StandardLoad,load,,,True,1,2.86514471,2.1817538754545454
pr35,RenewableFix,dupv,,PVe,True,7,19.90456822721558,19.90456822721558
pr35,StandardLoad,load,,,False,7,29.583,29.583
pr35,StandardLoad,load,,,True,8,34.07424084958333,26.82711655
pr352,RenewableFix,dupv,,PVe,True,1,8.47956071,8.47956071
pr352,StandardLoad,load,,,False,1,40.0,40.0
pr352,StandardLoad,load,,,True,1,2.96060590125,2.345122895
pr353,RenewableDispatch,wind-ons,,WT,True,1,11.070771253405212,11.070771253405212
pr353,RenewableFix,dupv,,PVe,True,3,11.27498624,11.27498624
pr353,StandardLoad,load,,,False,3,17.768,17.768
pr353,StandardLoad,load,,,True,3,16.373298232499998,12.906084384500002
pr378,RenewableFix,dupv,,PVe,True,16,10.4542761645594,10.4542761645594
pr378,StandardLoad,load,,,False,17,22.565,22.565
pr378,StandardLoad,load,,,True,16,56.41943317839217,44.62214142747712
pr378,ThermalStandard,o-g-s,OTHER_GAS,IC,True,3,4.0,2.4
pr38,HydroDispatch,hydED,,HY,False,2,19.0,15.291
pr38,RenewableFix,dupv,,PVe,True,8,6.011456075527025,6.011456075527025
pr38,StandardLoad,load,,,False,8,10.364,10.364
pr38,StandardLoad,load,,,True,8,20.100850391979165,15.805194941999996
pr392,RenewableFix,dupv,,PVe,True,11,21.85129160444103,21.85129160444103
pr392,StandardLoad,load,,,False,11,49.128,49.128
pr392,StandardLoad,load,,,True,11,46.700555150806444,34.27898060080645
pr40,RenewableDispatch,upv,,PVe,True,1,231.89602,231.89602
pr40,RenewableFix,dupv,,PVe,True,13,19.080837479215027,19.080837479215027
pr40,StandardLoad,load,,,False,14,50.35500000000001,50.35500000000001
pr40,StandardLoad,load,,,True,13,32.340946239062504,25.649973114999998
pr400,RenewableFix,dupv,,PVe,True,1,4.70666757,4.70666757
pr400,StandardLoad,load,,,False,1,9.081,9.081
pr400,StandardLoad,load,,,True,1,7.620873845000001,6.06266971
pr41,RenewableFix,dupv,,PVe,True,16,30.59456863050358,30.59456863050358
pr41,StandardLoad,load,,,False,16,40.665,40.665
pr41,StandardLoad,load,,,True,16,59.330802142500005,48.19167607000001
pr41,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,True,2,41.99999999999999,0.0
pr428,RenewableFix,dupv,,PVe,True,1,5.30817471,5.30817471
pr428,StandardLoad,load,,,False,1,14.06,14.06
pr428,StandardLoad,load,,,True,1,3.375525496521739,2.61418767
pr440,GenericBattery,battery_4,,BA,True,1,246.14819917241985,246.14819917241985
pr440,RenewableDispatch,upv,,PVe,True,1,20.0,20.0
pr440,RenewableFix,dupv,,PVe,True,3,0.7916891500000001,0.7916891500000001
pr440,StandardLoad,load,,,False,3,2.102,2.102
pr440,StandardLoad,load,,,True,3,7.4632952859375,5.9192245649999995
pr440,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,False,1,82.5,50.0
pr440,ThermalStandard,o-g-s,DISTILLATE_FUEL_OIL,GT,True,2,165.0,125.148
pr442,RenewableFix,dupv,,PVe,True,1,4.79267675,4.79267675
pr442,StandardLoad,load,,,False,1,8.92,8.92
pr442,StandardLoad,load,,,True,1,3.2691944917647056,2.4881356388235294
pr45,RenewableFix,dupv,,PVe,True,35,46.15851015871902,46.15851015871902
pr45,StandardLoad,load,,,False,35,116.64099999999999,116.64099999999999
pr45,StandardLoad,load,,,True,35,143.45196561171366,112.84529296772547
pr452,RenewableFix,dupv,,PVe,True,1,1.3658054099999999,1.3658054099999999
pr452,StandardLoad,load,,,False,1,2.542,2.542
